patient,n_test_images,accuracy,balanced_accuracy,confidence
1,491,0.8697,0.7882,0.8688
2,302,0.8874,0.8903,0.8721
3,172,0.7616,0.8244,0.7976
4,234,0.7692,0.8042,0.8313
5,175,0.8914,0.8856,0.8204
6,122,0.8607,0.8506,0.8228
7,28,0.9643,0.9583,0.8545
8,57,0.9825,0.9889,0.8636
9,9,0.8889,0.8889,0.7947
10,51,1.0,1.0,0.8853
11,46,1.0,1.0,0.9311
12,19,0.9474,0.9474,0.8996
13,3,1.0,1.0,0.9184
14,4,1.0,1.0,0.8225
